Open Num,Trial Num,Run Num,Home Care Death,Home Care Recovered,Outpatient Death,Outpatient Recovered,Inpatient Death,Inpatient Recovered,Turned Away Death,Turned Away Recovered,
1,10,12142,0,6564,98,4917,0,0,685,4314,
1,1,12143,0,6719,107,5060,0,0,676,4445,
1,2,12144,0,6823,82,5033,0,0,723,4413,
1,3,12145,0,6752,88,5074,0,0,740,4409,
1,4,12146,0,6744,116,5065,0,0,675,4452,
1,5,12147,0,6886,103,4974,0,0,683,4252,
1,6,12148,0,6788,92,5006,0,0,686,4265,
1,7,12149,0,6750,114,5056,0,0,647,4367,
1,8,12150,0,6642,105,5051,0,0,699,4453,
1,9,12151,0,6778,102,5031,0,0,688,4376,
1,10,12152,0,6564,98,4917,0,0,685,4314,
1,1,12153,0,6719,107,5060,0,0,676,4445,
1,2,12154,0,6823,82,5033,0,0,723,4413,
1,3,12155,0,6752,88,5074,0,0,740,4409,
1,4,12156,0,6744,116,5065,0,0,675,4452,
1,5,12157,0,6886,103,4974,0,0,683,4252,
1,6,12158,0,6788,92,5006,0,0,686,4265,
1,7,12159,0,6750,114,5056,0,0,647,4367,
1,8,12160,0,6642,105,5051,0,0,699,4453,
1,9,12161,0,6778,102,5031,0,0,688,4376,
1,10,12162,0,6564,98,4917,0,0,685,4314,
1,1,12163,0,6719,107,5060,0,0,676,4445,
1,2,12164,0,6823,82,5033,0,0,723,4413,
1,3,12165,0,6752,88,5074,0,0,740,4409,
1,4,12166,0,6744,116,5065,0,0,675,4452,
1,5,12167,0,6886,103,4974,0,0,683,4252,
1,6,12168,0,6788,92,5006,0,0,686,4265,
1,7,12169,0,6750,114,5056,0,0,647,4367,
1,8,12170,0,6642,105,5051,0,0,699,4453,
1,9,12171,0,6778,102,5031,0,0,688,4376,
1,10,12172,0,6564,98,4917,0,0,685,4314,
1,1,12173,0,6719,107,5060,0,0,676,4445,
1,2,12174,0,6823,82,5033,0,0,723,4413,
1,3,12175,0,6752,88,5074,0,0,740,4409,
1,4,12176,0,6744,116,5065,0,0,675,4452,
1,5,12177,0,6886,103,4974,0,0,683,4252,
1,6,12178,0,6788,92,5006,0,0,686,4265,
1,7,12179,0,6750,114,5056,0,0,647,4367,
1,8,12180,0,6642,105,5051,0,0,699,4453,
1,9,12181,0,6778,102,5031,0,0,688,4376,
1,10,12182,0,6564,98,4917,0,0,685,4314,
1,1,12183,0,6719,107,5060,0,0,676,4445,
1,2,12184,0,6823,82,5033,0,0,723,4413,
1,3,12185,0,6752,88,5074,0,0,740,4409,
1,4,12186,0,6744,116,5065,0,0,675,4452,
1,5,12187,0,6886,103,4974,0,0,683,4252,
1,6,12188,0,6788,92,5006,0,0,686,4265,
1,7,12189,0,6750,114,5056,0,0,647,4367,
1,8,12190,0,6642,105,5051,0,0,699,4453,
1,9,12191,0,6778,102,5031,0,0,688,4376,
1,10,12192,0,6564,98,4917,0,0,685,4314,
1,1,12193,0,6719,107,5060,0,0,676,4445,
1,2,12194,0,6823,82,5033,0,0,723,4413,
1,3,12195,0,6752,88,5074,0,0,740,4409,
1,4,12196,0,6744,116,5065,0,0,675,4452,
1,5,12197,0,6886,103,4974,0,0,683,4252,
1,6,12198,0,6788,92,5006,0,0,686,4265,
1,7,12199,0,6750,114,5056,0,0,647,4367,
1,8,12200,0,6642,105,5051,0,0,699,4453,
1,9,12201,0,6778,102,5031,0,0,688,4376,
1,10,12202,0,6564,98,4917,0,0,685,4314,
1,1,12203,0,6719,107,5060,0,0,676,4445,
1,2,12204,0,6823,82,5033,0,0,723,4413,
1,3,12205,0,6752,88,5074,0,0,740,4409,
1,4,12206,0,6744,116,5065,0,0,675,4452,
1,5,12207,0,6886,103,4974,0,0,683,4252,
1,6,12208,0,6788,92,5006,0,0,686,4265,
1,7,12209,0,6750,114,5056,0,0,647,4367,
1,8,12210,0,6642,105,5051,0,0,699,4453,
1,9,12211,0,6778,102,5031,0,0,688,4376,
1,10,12212,0,6564,98,4917,0,0,685,4314,
1,1,12213,0,6719,107,5060,0,0,676,4445,
1,2,12214,0,6823,82,5033,0,0,723,4413,
1,3,12215,0,6752,88,5074,0,0,740,4409,
1,4,12216,0,6744,116,5065,0,0,675,4452,
1,5,12217,0,6886,103,4974,0,0,683,4252,
1,6,12218,0,6788,92,5006,0,0,686,4265,
1,7,12219,0,6750,114,5056,0,0,647,4367,
1,8,12220,0,6642,105,5051,0,0,699,4453,
1,9,12221,0,6778,102,5031,0,0,688,4376,
1,10,12222,0,6564,98,4917,0,0,685,4314,
1,1,12223,0,6719,107,5060,0,0,676,4445,
1,2,12224,0,6823,82,5033,0,0,723,4413,
1,3,12225,0,6752,88,5074,0,0,740,4409,
1,4,12226,0,6744,116,5065,0,0,675,4452,
1,5,12227,0,6886,103,4974,0,0,683,4252,
1,6,12228,0,6788,92,5006,0,0,686,4265,
1,7,12229,0,6750,114,5056,0,0,647,4367,
1,8,12230,0,6642,105,5051,0,0,699,4453,
1,9,12231,0,6778,102,5031,0,0,688,4376,
1,10,12232,0,6564,98,4917,0,0,685,4314,
